Performing image warping using TORCH_ALL
Working on image 0
Not saving images, only evaluating output
Time taken was 1.314126
Reference position is (4, 4)
Position (3, 3): PSNR 39.441595, SSIM 0.955819
Position (3, 4): PSNR 40.699333, SSIM 0.961172
Position (3, 5): PSNR 38.831961, SSIM 0.951137
Position (3, 6): PSNR 36.248693, SSIM 0.936331
Position (3, 7): PSNR 34.243944, SSIM 0.920649
Position (4, 0): PSNR 33.204448, SSIM 0.916493
Position (4, 1): PSNR 35.022009, SSIM 0.932226
Position (4, 2): PSNR 37.568624, SSIM 0.948551
Position (4, 3): PSNR 41.393581, SSIM 0.966480
Position (4, 4): PSNR 100.000000, SSIM 1.000000
Position (4, 5): PSNR 40.255952, SSIM 0.962578
Position (4, 6): PSNR 36.886570, SSIM 0.945979
Position (4, 7): PSNR 34.636953, SSIM 0.933021
Position (5, 0): PSNR 32.982198, SSIM 0.912005
Position (5, 1): PSNR 34.621675, SSIM 0.926127
Position (5, 2): PSNR 36.670955, SSIM 0.940713
Position (5, 3): PSNR 39.097312, SSIM 0.953639
Position (5, 4): PSNR 41.186608, SSIM 0.964706
Position (5, 5): PSNR 38.770527, SSIM 0.953363
Position (5, 6): PSNR 36.371358, SSIM 0.942787
Position (5, 7): PSNR 34.407846, SSIM 0.929591
Position (6, 0): PSNR 32.605369, SSIM 0.903460
Position (6, 1): PSNR 33.943331, SSIM 0.915944
Position (6, 2): PSNR 35.367747, SSIM 0.927181
Position (6, 3): PSNR 36.746667, SSIM 0.935419
Position (6, 4): PSNR 37.652192, SSIM 0.943485
Position (6, 5): PSNR 36.526132, SSIM 0.935508
Position (6, 6): PSNR 35.048075, SSIM 0.927850
Position (6, 7): PSNR 33.672517, SSIM 0.918019
Position (7, 0): PSNR 32.079198, SSIM 0.892774
Position (7, 1): PSNR 33.107677, SSIM 0.902455
Position (7, 2): PSNR 34.039908, SSIM 0.910884
Position (7, 3): PSNR 34.818041, SSIM 0.915658
Position (7, 4): PSNR 35.245608, SSIM 0.920715
Position (7, 5): PSNR 34.547877, SSIM 0.913746
Position (7, 6): PSNR 33.697731, SSIM 0.909263
Position (7, 7): PSNR 32.794825, SSIM 0.902810

psnr average 36.129159, stddev 8.394237
ssim average 0.922733, stddev 0.023661
Working on image 7
Not saving images, only evaluating output
Time taken was 1.285611
Reference position is (4, 4)
Position (0, 0): PSNR 24.111721, SSIM 0.758069
Position (0, 1): PSNR 24.501260, SSIM 0.763072
Position (0, 2): PSNR 24.715558, SSIM 0.766209
Position (0, 3): PSNR 25.019954, SSIM 0.775001
Position (0, 4): PSNR 25.392461, SSIM 0.784163
Position (0, 5): PSNR 25.796425, SSIM 0.793290
Position (0, 6): PSNR 25.883503, SSIM 0.791816
Position (0, 7): PSNR 25.659053, SSIM 0.785982
Position (1, 0): PSNR 24.306937, SSIM 0.769831
Position (1, 1): PSNR 24.937808, SSIM 0.779051
Position (1, 2): PSNR 25.584595, SSIM 0.789456
Position (1, 3): PSNR 26.152022, SSIM 0.801598
Position (1, 4): PSNR 26.595983, SSIM 0.815987
Position (1, 5): PSNR 26.772893, SSIM 0.818285
Position (1, 6): PSNR 26.667371, SSIM 0.812961
Position (1, 7): PSNR 26.271506, SSIM 0.806964
